winner_name,percent_servept_won,percent_breakpt_saved,winner_ioc,Sum_Sum_w_1stWon,Sum_Sum_w_2ndWon,Sum_Sum_w_svpt,Sum_Sum_w_bpSaved,Sum_Sum_w_bpFaced
Cindy Watson,0.47674418604651164,0.4166666666666667,AUS,34,7,86,5,12
Julie Pullin,0.3793103448275862,0.4166666666666667,GBR,15,7,58,5,12
Olga Danilovic,0.5873015873015873,0.4166666666666667,SRB,47,27,126,5,12
Tetiana Luzhanska,0.503006012024048,0.4126984126984127,USA,168,83,499,26,63
Danielle Rose Collins,0.5253576072821846,0.41237113402061853,USA,281,123,769,40,97
Eugenia Kulikovskaya,0.525974025974026,0.4117647058823529,RUS,58,23,154,7,17
Sheng Nan Sun,0.4875,0.4117647058823529,CHN,85,32,240,14,34
Vanda Lukacs,0.4482758620689655,0.4117647058823529,HUN,60,31,203,14,34
Xiaodi You,0.4406779661016949,0.4107142857142857,CHN,99,57,354,23,56
Catalina Pella,0.5441988950276243,0.41025641025641024,ARG,143,54,362,16,39
Hiroko Kuwata,0.4633152173913043,0.4095238095238095,JPN,237,104,736,43,105
Gail Brodsky,0.5277777777777778,0.4090909090909091,USA,63,32,180,9,22
Michaela Gordon,0.46853146853146854,0.4090909090909091,USA,39,28,143,9,22
Dalma Galfi,0.5067567567567568,0.4090909090909091,HUN,50,25,148,9,22
Jamie Loeb,0.546079779917469,0.40789473684210525,USA,234,163,727,31,76
Lina Gjorcheska,0.55,0.4074074074074074,MKD,92,40,240,11,27
Anna Floris,0.46919431279620855,0.40625,ITA,70,29,211,13,32
So Jung Kim,0.49318801089918257,0.40384615384615385,KOR,126,55,367,21,52
Bianca Botto,0.47058823529411764,0.4,PER,34,14,102,6,15
Agnes Bukta,0.4726027397260274,0.4,HUN,51,18,146,8,20
Chang Liu,0.45652173913043476,0.4,CHN,32,10,92,4,10
Giulia Gatto Monticone,0.425,0.4,ITA,43,8,120,8,20
Komola Umarova,0.3877551020408163,0.4,UZB,16,3,49,4,10
Sandra Roma,0.4583333333333333,0.4,SWE,59,29,192,12,30
Olga Ianchuk,0.43333333333333335,0.4,UKR,18,8,60,4,10
Maria Fernanda Herazo Gonzalez,0.3076923076923077,0.4,COL,8,4,39,4,10
Jennifer Elie,0.5517241379310345,0.4,USA,26,6,58,2,5
Natasa Zoric,0.6065573770491803,0.4,SRB,25,12,61,2,5
Hilda Melander,0.4339622641509434,0.4,SWE,15,8,53,4,10
Alejandra Granillo,0.3409090909090909,0.4,MEX,11,4,44,4,10
Monica Seles,0.3898305084745763,0.4,USA,16,7,59,4,10
Rutuja Bhosale,0.43137254901960786,0.4,IND,14,8,51,4,10
Ellen Allgurin,0.4262295081967213,0.4,SWE,62,16,183,12,30
Ekaterine Gorgodze,0.4074074074074074,0.4,GEO,15,7,54,4,10
Ching Wen Hsu,0.5514018691588785,0.4,TPE,129,48,321,14,35
Fatma Al Nabhani,0.41786743515850144,0.3968253968253968,OMA,92,53,347,25,63
Myrtille Georges,0.45318352059925093,0.39473684210526316,FRA,85,36,267,15,38
Chieh Yu Hsu,0.48095238095238096,0.39285714285714285,USA,64,37,210,11,28
Melanie Klaffner,0.5040783034257749,0.3918918918918919,AUT,210,99,613,29,74
Hilary Barte,0.483695652173913,0.391304347826087,USA,69,20,184,9,23
Frederica Piedade,0.37850467289719625,0.3902439024390244,POR,51,30,214,16,41
Sofya Zhuk,0.54673721340388,0.3870967741935484,RUS,225,85,567,24,62
Jorgelina Cravero,0.4583333333333333,0.38461538461538464,ARG,42,35,168,10,26
Xenia Knoll,0.5,0.38461538461538464,SUI,35,16,102,5,13
Kamilla Farhad,0.3446327683615819,0.38461538461538464,AZE,44,17,177,15,39
Nudnida Luangnam,0.48255813953488375,0.38461538461538464,THA,183,66,516,25,65
Sung Hee Han,0.39444444444444443,0.38235294117647056,KOR,51,20,180,13,34
Martina Trevisan,0.4870689655172414,0.38235294117647056,ITA,84,29,232,13,34
Lubomira Kurhajcova,0.5205479452054794,0.375,SVK,132,58,365,15,40
Bahia Mouhtassine,0.38095238095238093,0.375,MAR,10,6,42,3,8
Angelika Roesch,0.45021645021645024,0.375,GER,78,26,231,12,32
Stephanie Gehrlein,0.5042016806722689,0.375,GER,42,18,119,6,16
Bernarda Pera,0.53,0.375,CRO,104,55,300,12,32
Ana Sofia Sanchez,0.45408163265306123,0.375,MEX,62,27,196,12,32
Anna Gerasimou,0.6058394160583942,0.375,GRE,52,31,137,3,8
Jade Lewis,0.49606299212598426,0.375,NZL,51,12,127,6,16
Tessah Andrianjafitrimo,0.43564356435643564,0.375,FRA,26,18,101,6,16
Nan Nan Zhang,0.453125,0.375,CHN,25,4,64,3,8
Csilla Borsanyi,0.46153846153846156,0.375,HUN,11,13,52,3,8
Arina Folts,0.37209302325581395,0.375,UZB,6,10,43,3,8
