tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round
2011-W-SL-AUS-01A-2011,Australian Open,Hard,128,G,20110117,125,201419,9,,Na Li,R,172,CHN,28.8898015058,11,3950,201496,1,,Caroline Wozniacki,R,177,DEN,20.5201916496,1,8035,3-6 7-5 6-3,3,SF
2011-W-SL-FRA-01A-2011,French Open,Clay,128,G,20110523,117,201419,6,,Na Li,R,172,CHN,29.234770705,7,4635,201520,9,,Petra Kvitova,L,183,CZE,21.2073921971,9,3743,2-6 6-1 6-3,3,R16
2008-W-T2-USA-03A-2008,Los Angeles,Hard,56,T2,20080721,050,201336,4,,Dinara Safina,R,182,RUS,22.2340862423,9,2287,201458,8,,Victoria Azarenka,R,180,BLR,18.9733059548,16,1386,6-3 6-1,3,QF
2008-W-T2-GER-01A-2008,Stuttgart,Hard,28,T2,20080929,013,201419,,,Na Li,R,172,CHN,26.5900068446,30,937,200033,1,,Serena Williams,R,175,USA,27.0088980151,1,4091,0-6 6-1 6-4,3,R16
2008-W-T1-RUS-01A-2008,Moscow,Hard,28,T1,20081006,010,201320,5,,Svetlana Kuznetsova,R,174,RUS,23.2772073922,7,2920,201419,,,Na Li,R,172,CHN,26.6091718001,29,1012,6-4 7-5,3,R32
2008-W-WT-QAT-01A-2008,WTA Tour Championships,Hard,4,W,20081103,6,201329,8,,Vera Zvonareva,R,172,RUS,24.1560574949,9,2497,201320,6,,Svetlana Kuznetsova,R,174,RUS,23.3538672142,7,2726,6-2 6-3,3,RR
2008-W-WT-QAT-01A-2008,WTA Tour Championships,Hard,4,W,20081103,11,200748,7,,Venus Williams,R,185,USA,28.3805612594,8,2522,200033,3,,Serena Williams,R,175,USA,27.1047227926,3,3716,5-7 6-1 6-0,3,RR
2009-W-SL-AUS-01A-2009,Australian Open,Hard,128,G,20090119,120,200033,2,,Serena Williams,R,175,USA,27.3155373032,2,7932,201458,13,,Victoria Azarenka,R,180,BLR,19.4715947981,14,3066,3-6 4-2 RET,3,R16
2009-W-PR-FRA-01A-2009,Paris,Carpet,32,P,20090209,031,200065,8,,Amelie Mauresmo,R,175,FRA,29.6016427105,24,2062,200108,3,,Elena Dementieva,R,180,RUS,27.3210130048,4,8166,7-6(7) 2-6 6-4,3,F
2009-W-INT-MEX-02A-2009,Monterrey,Hard,32,I,20090302,017,201419,,,Na Li,R,172,CHN,27.0116358658,53,1109,201508,,,Petra Cetkovska,R,172,CZE,24.0602327173,74,831,6-3 6-4,3,R16
